# Job 44: 44
# GPU: 6
# Command: python train.py --level 44 --dim 640 --expansion 2.0 --data data/pile.txt --depth 20 --batch_size 32 --chunk_size 512 --lr 3e-4 --warmup_steps 100 --seed 42 --bf16 --train_minutes 10 --output benchmark_results/all_models_20260119_213946/44
# Started: 2026-01-19T22:30:54.651569
============================================================

Using device: cuda
Output directory: benchmark_results/all_models_20260119_213946/44/level44_100m_20260119_223059
Auto r_h_mode: none (level 44 has bounded/no W_h)
Model: Level 44, 32,996,480 parameters

Starting training from step 0...
Batch size: 32, Chunk size: 512
Gradient accumulation: 1, Effective batch: 32

Time-based training: 10.0 minutes
step   2610 | loss nan | lr 2.94e-04 | grad nan | tok/s 145307
step   2620 | loss nan | lr 2.74e-04 | grad nan | tok/s 148647
step   2630 | loss nan | lr 2.42e-04 | grad nan | tok/s 144028
step   2640 | loss nan | lr 2.01e-04 | grad nan | tok/s 139561
step   2650 | loss nan | lr 1.55e-04 | grad nan | tok/s 135215
step   2660 | loss nan | lr 1.09e-04 | grad nan | tok/s 145784
step   2670 | loss nan | lr 6.65e-05 | grad nan | tok/s 148766
step   2680 | loss nan | lr 3.24e-05 | grad nan | tok/s 148954
step   2690 | loss nan | lr 9.84e-06 | grad nan | tok/s 148056
step   2700 | loss nan | lr 1.07e-06 | grad nan | tok/s 142506
step   2710 | loss nan | lr 6.93e-06 | grad nan | tok/s 138853
step   2720 | loss nan | lr 2.68e-05 | grad nan | tok/s 146848
step   2730 | loss nan | lr 5.89e-05 | grad nan | tok/s 141997
step   2740 | loss nan | lr 9.98e-05 | grad nan | tok/s 141394
step   2750 | loss nan | lr 1.46e-04 | grad nan | tok/s 142841
step   2760 | loss nan | lr 1.92e-04 | grad nan | tok/s 137367
step   2770 | loss nan | lr 2.35e-04 | grad nan | tok/s 143321
step   2780 | loss nan | lr 2.69e-04 | grad nan | tok/s 138141
step   2790 | loss nan | lr 2.91e-04 | grad nan | tok/s 141585
step   2800 | loss nan | lr 3.00e-04 | grad nan | tok/s 141479
step   2810 | loss nan | lr 2.94e-04 | grad nan | tok/s 143599
step   2820 | loss nan | lr 2.74e-04 | grad nan | tok/s 145028
step   2830 | loss nan | lr 2.42e-04 | grad nan | tok/s 144504
step   2840 | loss nan | lr 2.01e-04 | grad nan | tok/s 141848
step   2850 | loss nan | lr 1.55e-04 | grad nan | tok/s 145315
step   2860 | loss nan | lr 1.09e-04 | grad nan | tok/s 141614
step   2870 | loss nan | lr 6.65e-05 | grad nan | tok/s 141509
step   2880 | loss nan | lr 3.24e-05 | grad nan | tok/s 142413
step   2890 | loss nan | lr 9.84e-06 | grad nan | tok/s 143894
step   2900 | loss nan | lr 1.07e-06 | grad nan | tok/s 138130
step   2910 | loss nan | lr 6.93e-06 | grad nan | tok/s 138384
step   2920 | loss nan | lr 2.68e-05 | grad nan | tok/s 145323
step   2930 | loss nan | lr 5.89e-05 | grad nan | tok/s 142262
step   2940 | loss nan | lr 9.98e-05 | grad nan | tok/s 138849
step   2950 | loss nan | lr 1.46e-04 | grad nan | tok/s 139083
step   2960 | loss nan | lr 1.92e-04 | grad nan | tok/s 140572
step   2970 | loss nan | lr 2.35e-04 | grad nan | tok/s 139474
step   2980 | loss nan | lr 2.69e-04 | grad nan | tok/s 142127
step   2990 | loss nan | lr 2.91e-04 | grad nan | tok/s 142523
step   3000 | loss nan | lr 3.00e-04 | grad nan | tok/s 144039
  >>> saved checkpoint: checkpoint_step_003000_loss_nan.pt
step   3010 | loss nan | lr 2.94e-04 | grad nan | tok/s 119781
step   3020 | loss nan | lr 2.74e-04 | grad nan | tok/s 141672
step   3030 | loss nan | lr 2.42e-04 | grad nan | tok/s 140595
step   3040 | loss nan | lr 2.01e-04 | grad nan | tok/s 140241
step   3050 | loss nan | lr 1.55e-04 | grad nan | tok/s 141310
step   3060 | loss nan | lr 1.09e-04 | grad nan | tok/s 139201
step   3070 | loss nan | lr 6.65e-05 | grad nan | tok/s 140220
step   3080 | loss nan | lr 3.24e-05 | grad nan | tok/s 143358
step   3090 | loss nan | lr 9.84e-06 | grad nan | tok/s 143118
step   3100 | loss nan | lr 1.07e-06 | grad nan | tok/s 139746
step   3110 | loss nan | lr 6.93e-06 | grad nan | tok/s 143181
step   3120 | loss nan | lr 2.68e-05 | grad nan | tok/s 138651
step   3130 | loss nan | lr 5.89e-05 | grad nan | tok/s 145403
step   3140 | loss nan | lr 9.98e-05 | grad nan | tok/s 148497
step   3150 | loss nan | lr 1.46e-04 | grad nan | tok/s 148258
step   3160 | loss nan | lr 1.92e-04 | grad nan | tok/s 137609
step   3170 | loss nan | lr 2.35e-04 | grad nan | tok/s 140521
step   3180 | loss nan | lr 2.69e-04 | grad nan | tok/s 142031
step   3190 | loss nan | lr 2.91e-04 | grad nan | tok/s 142362
step   3200 | loss nan | lr 3.00e-04 | grad nan | tok/s 141666
step   3210 | loss nan | lr 2.94e-04 | grad nan | tok/s 145303
step   3220 | loss nan | lr 2.74e-04 | grad nan | tok/s 145780
step   3230 | loss nan | lr 2.42e-04 | grad nan | tok/s 141155
step   3240 | loss nan | lr 2.01e-04 | grad nan | tok/s 133735
step   3250 | loss nan | lr 1.55e-04 | grad nan | tok/s 132177
step   3260 | loss nan | lr 1.09e-04 | grad nan | tok/s 140268
step   3270 | loss nan | lr 6.65e-05 | grad nan | tok/s 142481
step   3280 | loss nan | lr 3.24e-05 | grad nan | tok/s 141188
step   3290 | loss nan | lr 9.84e-06 | grad nan | tok/s 145991
step   3300 | loss nan | lr 1.07e-06 | grad nan | tok/s 139545
step   3310 | loss nan | lr 6.93e-06 | grad nan | tok/s 142935
step   3320 | loss nan | lr 2.68e-05 | grad nan | tok/s 140002
step   3330 | loss nan | lr 5.89e-05 | grad nan | tok/s 144427
step   3340 | loss nan | lr 9.98e-05 | grad nan | tok/s 137576
step   3350 | loss nan | lr 1.46e-04 | grad nan | tok/s 136573
step   3360 | loss nan | lr 1.92e-04 | grad nan | tok/s 147100
step   3370 | loss nan | lr 2.35e-04 | grad nan | tok/s 145543
step   3380 | loss nan | lr 2.69e-04 | grad nan | tok/s 140163
step   3390 | loss nan | lr 2.91e-04 | grad nan | tok/s 143649
step   3400 | loss nan | lr 3.00e-04 | grad nan | tok/s 142231
step   3410 | loss nan | lr 2.94e-04 | grad nan | tok/s 137297
step   3420 | loss nan | lr 2.74e-04 | grad nan | tok/s 141003
step   3430 | loss nan | lr 2.42e-04 | grad nan | tok/s 144883
step   3440 | loss nan | lr 2.01e-04 | grad nan | tok/s 144366
step   3450 | loss nan | lr 1.55e-04 | grad nan | tok/s 141797
step   3460 | loss nan | lr 1.09e-04 | grad nan | tok/s 143644
step   3470 | loss nan | lr 6.65e-05 | grad nan | tok/s 146461
step   3480 | loss nan | lr 3.24e-05 | grad nan | tok/s 135315
step   3490 | loss nan | lr 9.84e-06 | grad nan | tok/s 131082
step   3500 | loss nan | lr 1.07e-06 | grad nan | tok/s 137891
step   3510 | loss nan | lr 6.93e-06 | grad nan | tok/s 141144
step   3520 | loss nan | lr 2.68e-05 | grad nan | tok/s 140173
step   3530 | loss nan | lr 5.89e-05 | grad nan | tok/s 140956
